"","user","majorContributor","responses","topics","avgNumberOfResponsesPerTopic","avgNumberOfResponsesBeforeResponse","avgNumberOfResponsesAfterResponse","entropy","yearJoined","firstDayResponse","avgGap","avgStd","standardTopics","normalTopics"
"799","julie11",1,5,1,0,0,0,0.712666076,2,3,0.5,22.92318089,-0.0520483337542118,0.0144927536231884
"800","julie3",1,0,0,0,0,0,0,0,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"803","julie_wettstein",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"804","julie_wright",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"808","k114",1,1,0,0,0,0,0.36458166,5,9,9,0,-0.409742201894859,0
"809","kaayle",1,0,12,0,0,0,2.155766897,3,6,0.5,12.05168269,3.88258421579291,0.173913043478261
"810","kae",1,2,1,1.5,0,228,0.83922348,4,5,1.666666667,0,-0.0520483337542118,0.0144927536231884
"811","kalee_crespin",1,11,1,0,0,0,3.474684602,0,1,1.166666667,65.21689241,-0.0520483337542118,0.0144927536231884
"814","karen20",1,2,0,0,0,0,0.712666076,2,10,5,0,-0.409742201894859,0
"827","katey1",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"828","kathy19",1,1,0,0,0,0,0.143054647,2,5,5,0,-0.409742201894859,0
"835","katie24",1,10,1,0,0,0,0.068919535,5,19,4.090909091,7.474474469,-0.0520483337542118,0.0144927536231884
"838","katkat",1,6,0,0,0,0,2.088506498,5,14,2.333333333,31.57750606,-0.409742201894859,0
"844","kaymore",1,2,1,10,0,40,0.729163319,6,30,10,0,-0.0520483337542118,0.0144927536231884
"845","kc_o_pod",1,2,0,0,0,0,0.348084416,1,144,72,0,-0.409742201894859,0
"847","kelleigh",1,2,2,0,0,0,0.673512028,5,31,7.75,6.062177826,0.305645534386436,0.0289855072463768
"851","kelly21",1,13,2,0,0,0,1.441910877,3,0,1.2,10.32666451,0.305645534386436,0.0289855072463768
"859","kendyl",1,0,1,0,0,0,0.068919535,5,32,32,0,-0.0520483337542118,0.0144927536231884
"864","kerri_sparling",1,1,0,0,0,0,0.325427612,0,6,6,0,-0.409742201894859,0
"872","kim13",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"873","kim14",1,8,0,0,0,0,1.570936044,3,27,6.125,14.61965714,-0.409742201894859,0
"880","kimk",1,3,0,0,0,0,0.712666076,4,18,6,0,-0.409742201894859,0
"882","kimmy2",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"885","kirsty",1,0,1,0,0,0,0.36458166,4,13,13,0,-0.0520483337542118,0.0144927536231884
"887","kitabparast",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"889","kjack1805",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"892","kmd",1,7,0,0,1,25.83333333,1.077247736,1,4,1.714285714,40.76362925,-0.409742201894859,0
"894","knox_s_dad",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"900","kriss",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"903","kristin_johnson",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"914","lafashionaddict",1,2,2,22.6,11.5,21.5,0.729163319,4,59,14.75,36.88749788,0.305645534386436,0.0289855072463768
"916","lana",1,1,4,0,0,0,1.363521299,1,52,11.2,1.959591794,1.02103327066773,0.0579710144927536
"919","landon_and_brennen_s",1,2,4,0,0,0,0.650855223,4,0,0.833333333,2.5,1.02103327066773,0.0579710144927536
"920","lanny_nachtmann",1,1,0,0,0,0,0.325427612,2,49,49,0,-0.409742201894859,0
"923","laura",1,0,7,0,0,0,2.277993281,0,0,0,2.547507786,2.09411487508967,0.101449275362319
"925","laura40",1,4,1,0,0,0,1.030658399,4,3,24.6,40.17959681,-0.0520483337542118,0.0144927536231884
"926","laura49",1,1,0,0,0,0,0.36458166,5,7,7,0,-0.409742201894859,0
"931","lauren17",1,16,2,0,0,0,1.102712556,4,1,0.333333333,13.7325647,0.305645534386436,0.0289855072463768
"932","lauren3",1,0,1,0,0,0,0.348084416,1,4,4,0,-0.0520483337542118,0.0144927536231884
"935","ld1",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"936","ldb",1,2,1,0,0,0,0.108751128,7,14,4.666666667,0,-0.0520483337542118,0.0144927536231884
"937","ldrake",1,3,0,0,0,0,1.044253249,6,10,3.333333333,12.72792206,-0.409742201894859,0
"943","lemontea",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"944","lenny",1,0,0,6,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"953","lila2",1,0,4,0,0,0,0.789556803,3,1,0.25,5.261891295,1.02103327066773,0.0579710144927536
"957","linda1",1,2,0,0,0,0,0.712666076,1,5,2.5,0,-0.409742201894859,0
"961","lindsay4",1,6,1,0,0,0,0.761601625,4,0,2.285714286,13.23878039,-0.0520483337542118,0.0144927536231884
"966","lisa20",1,9,5,0,0,0,1.626973788,2,0,9.928571429,62.18635588,1.37872713880838,0.072463768115942
"970","liz",1,0,2,0,0,0,0.348084416,0,2,1,49.5,0.305645534386436,0.0289855072463768
"973","lizzie1",1,2,1,0,0,0,0.348084416,1,52,70.66666667,75.42472333,-0.0520483337542118,0.0144927536231884
"978","lori_ann",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"980","lorraine",1,4,1,0,0,0,0.712666076,1,3,0.6,19.53458472,-0.0520483337542118,0.0144927536231884
"986","lovin_life",1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"987","luca_bertagnolio",1,2,0,0,0,0,0.696168833,1,100,50,1.5,-0.409742201894859,0
"990","lukesmom",1,4,12,0,0,0,1.038093688,5,0,3.5625,21.9920973,3.88258421579291,0.173913043478261
"991","luvfostermom",1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"997","lynn_smith",1,0,0,0.095238095,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1004","maddy",1,0,1,0,0,0,0.325427612,1,13,13,0,-0.0520483337542118,0.0144927536231884
"1005","maggie5",1,6,2,0,0,0,2.065849693,3,7,0.875,15.63449711,0.305645534386436,0.0289855072463768
"1009","maiajane",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1012","mamadog",1,10,0,0,0,0,1.727516474,2,9,2.2,10.08017857,-0.409742201894859,0
"1014","manohar_namasivayam",1,1,1,0,0,0,0.077136632,0,0,17.5,17.5,-0.0520483337542118,0.0144927536231884
"1017","marcia",1,1,1,0,0,0,0.673512028,2,8,4,8.5,-0.0520483337542118,0.0144927536231884
"1019","margaret2",1,4,3,0,0,0,1.408834909,1,11,1.714285714,18.39809218,0.663339402527083,0.0434782608695652
"1020","margaret4",1,11,1,0,0,0,1.351508322,2,16,11.25,41.24385476,-0.0520483337542118,0.0144927536231884
"1026","marie8",1,5,2,0,0,0,1.458326639,3,34,5.142857143,2.547507786,0.305645534386436,0.0289855072463768
"1028","marilyn_bee",1,1,2,0,0,0,0.712666076,5,14,5.333333333,0.942809042,0.305645534386436,0.0289855072463768
"1030","mario1",1,8,1,0,0,0,2.694048112,7,23,2.555555556,3.695175366,-0.0520483337542118,0.0144927536231884
"1032","marjorie",1,0,1,0,0,0,0.348084416,3,78,78,0,-0.0520483337542118,0.0144927536231884
"1034","mark13",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1037","mark46",1,1,0,0,0,0,0.36458166,7,2,2,0,-0.409742201894859,0
"1040","mark_mansheim",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1041","mark_oldham",1,8,0,0,0,0,2.453088158,3,50,7.75,16.76631668,-0.409742201894859,0
"1042","markbu",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1044","markr",1,6,1,0,0,0,0.348084416,7,1,0.142857143,5.948760804,-0.0520483337542118,0.0144927536231884
"1045","markymarc",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1048","marnie1",1,14,3,33.6,37.78571429,42.64285714,4.947527043,4,13,1.647058824,41.80660698,0.663339402527083,0.0434782608695652
"1054","mary34",1,2,0,0,38.5,246.5,0.325427612,3,3,3,1.5,-0.409742201894859,0
"1062","marypat",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1065","mat",1,9,1,0,0,0,3.132759747,2,8,0.8,34.91776052,-0.0520483337542118,0.0144927536231884
"1066","max_morneault",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1067","mayumi",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1071","mcfc1987",1,5,2,2.1875,3,87.8,1.139680211,6,5,1,1.772810521,0.305645534386436,0.0289855072463768
"1082","melanie8",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1084","melinda2",1,0,1,0,0,0,0.36458166,2,0,0,0,-0.0520483337542118,0.0144927536231884
"1085","melissa12",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1090","mf44srq",1,1,0,0,0,0,0.348084416,5,2,2,0,-0.409742201894859,0
"1099","michael_hutch",1,0,69,0,0,0,4.766585397,2,2,0.086956522,27.41133383,24.2711346998098,1
"1106","michele_p",1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1107","michelle10",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1108","michelle11",1,13,5,0,0,0,2.732199003,1,5,2.5,20.71738103,1.37872713880838,0.072463768115942
"1109","michelle18",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1113","michelle46",1,0,1,0,0,0,0.325427612,6,0,0,0,-0.0520483337542118,0.0144927536231884
"1118","michelle_p",1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1133","mike_w1",1,3,2,0,0,0,1.044253249,3,0,2.4,5.230678732,0.305645534386436,0.0289855072463768
"1136","mikep",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1138","mikki1",1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1139","mila2",1,0,1,0,0,0,0.348084416,3,5,5,0,-0.0520483337542118,0.0144927536231884
"1142","mismelissa",1,4,2,0,0,0,1.458326639,6,11,1.833333333,11.93035345,0.305645534386436,0.0289855072463768
"1143","misslj",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1146","mm1",1,4,2,0,0,0,1.038093688,1,4,47,96.02893083,0.305645534386436,0.0289855072463768
"1153","mom2e1",1,2,1,0,0,0,0.696168833,4,0,2,6.164414003,-0.0520483337542118,0.0144927536231884
"1158","mountain_biker",1,15,2,0,0,0,3.906065212,3,14,5.411764706,28.62851193,0.305645534386436,0.0289855072463768
"1160","mrsilver",1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1161","msann59",1,1,0,41,0,14,0.348084416,2,4,4,0,-0.409742201894859,0
"1167","n1njahczar",1,0,0,130,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1168","nadia_tasci",1,5,1,0,0,0,1.78375425,1,16,9.166666667,18.8650176,-0.0520483337542118,0.0144927536231884
"1174","nancy5",1,0,1,0,0,0,0,1,36,36,0,-0.0520483337542118,0.0144927536231884
"1175","nancy6",1,2,1,0,0,0,0.802618677,1,0,15.66666667,21.6999744,-0.0520483337542118,0.0144927536231884
"1177","nanette_stoots",1,8,0,0,0,0,1.788638084,2,2,0.25,5.487201017,-0.409742201894859,0
"1180","naomi8",1,2,1,0,142,42,0.622794957,6,4,1.333333333,4.242640687,-0.0520483337542118,0.0144927536231884
"1182","nathan4",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1184","naz",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1188","nelson1",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1190","nevada",1,0,11,6,0,0,0.712666076,5,12,6.727272727,26.06920225,3.52489034765226,0.159420289855072
"1191","newfer",1,2,3,0,0,0,0.606297714,3,84,19.6,7.310266753,0.663339402527083,0.0434782608695652
"1198","nilufer",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1205","norcal_t1",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1209","nouran",1,4,1,0,0,0,1.015436883,2,2,0.4,6.112282716,-0.0520483337542118,0.0144927536231884
"1210","nutrijoy",1,2,0,0,0,0,0.307126547,7,8,4.5,0.5,-0.409742201894859,0
"1212","oldspook",1,5,1,0,0,0,1.740422082,6,127,21.16666667,0.372677996,-0.0520483337542118,0.0144927536231884
"1213","olga_gonzalez_ramos",1,3,2,0,0,0,0.828875121,1,15,4,2,0.305645534386436,0.0289855072463768
"1217","onliner",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1219","orbiter7",1,0,1,4,0,0,0.36458166,5,6,6,0,-0.0520483337542118,0.0144927536231884
"1224","p0wellman",1,7,2,4,2,15.42857143,2.088506498,3,58,6.444444444,3.314763087,0.305645534386436,0.0289855072463768
"1229","pamela10",1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1243","patti_huston",1,0,3,0,0,0,0.976282835,2,0,0,2.357022604,0.663339402527083,0.0434782608695652
"1245","paul_veal",1,3,0,0,0,0,0.783538883,6,16,5.333333333,21.63844316,-0.409742201894859,0
"1247","pavlos",1,3,1,0,0,0,1.044253249,1,65,16.25,0.5,-0.0520483337542118,0.0144927536231884
"1248","pc1",1,0,1,0,0,0,0.325427612,3,0,0,0,-0.0520483337542118,0.0144927536231884
"1249","pebbles_audrey_smith",1,1,0,0,0,0,0.129106649,4,10,10,0,-0.409742201894859,0
"1250","peg",1,1,0,0,0,0,0.348084416,1,2,2,0,-0.409742201894859,0
"1251","pem",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1254","perun",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1255","peruvianpasohi",1,1,0,0,3,5,0.348084416,3,2,2,0,-0.409742201894859,0
"1278","puddlepirate88",1,1,0,0,57,21,0.36458166,6,4,4,0,-0.409742201894859,0
"1280","que",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1285","racheeh",1,0,1,0,0,0,0.36458166,4,15,15,0,-0.0520483337542118,0.0144927536231884
"1292","ran_peace",1,2,1,1,0,6,0.108751128,6,48,16,0,-0.0520483337542118,0.0144927536231884
"1293","randall_w_brown",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1296","ray",1,0,0,0,0,0,0,0,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1297","ray6",1,6,0,0,0,0,2.088506498,3,3,0.5,22.80898946,-0.409742201894859,0
"1300","realsis77",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1301","rebecca14",1,14,2,0,0,0,1.293787841,2,8,0.9375,53.98086322,0.305645534386436,0.0289855072463768
"1302","rebecca_m_rodick",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1305","renea",1,8,3,0,0,0,2.784675331,4,3,0.909090909,6.314092856,0.663339402527083,0.0434782608695652
"1307","renka",1,2,18,20.07142857,0,34,0.998939639,4,1,6.65,44.32256762,6.02874742463679,0.260869565217391
"1310","rgcainmd",1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1320","rik_wade",1,3,0,0,0,0,0.154273264,1,10,3.333333333,16.26857912,-0.409742201894859,0
"1322","riley",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1326","riva_greenberg",1,2,3,0,0,0,0.690009271,2,2,0.4,6.368673331,0.663339402527083,0.0434782608695652
"1337","robin_lynn_macke",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1338","robin_m",1,0,10,0,0,0,3.480844163,1,4,0.4,27.43428512,3.16719647951161,0.144927536231884
"1339","robin_m1",1,1,0,0,0,0,0.36458166,2,7,7,0,-0.409742201894859,0
"1340","robtjr60",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1345","romintek",1,3,0,0,0,0,1.044253249,3,5,1.666666667,1.699673171,-0.409742201894859,0
"1346","ron_doyle",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1349","ronn",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1350","roop",1,3,1,0,0,0,0.690009271,4,95,23.75,0.866025404,-0.0520483337542118,0.0144927536231884
"1352","rosemary_humby",1,1,0,0,0,0,0.348084416,2,5,5,0,-0.409742201894859,0
"1358","rsagall",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1364","sam7",1,0,1,1,0,0,0.36458166,3,0,0,0,-0.0520483337542118,0.0144927536231884
"1366","samantha4",1,6,2,0,0,0,1.340700225,2,29,6.25,10.52378259,0.305645534386436,0.0289855072463768
"1367","sami",1,2,0,0,0,0,0.40245998,1,60,30,0,-0.409742201894859,0
"1374","santi",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1375","sara_louise",1,2,1,0,0,0,0.690009271,5,2,0.666666667,0,-0.0520483337542118,0.0144927536231884
"1389","scottyd",1,4,0,0,0,0,0.477191065,5,118,32,31.20096152,-0.409742201894859,0
"1400","seth_rothberg",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1404","shae",1,2,0,0,94.5,85.5,0.650855223,1,19,9.5,26.5,-0.409742201894859,0
"1411","shannon3",1,2,0,0,0,0,0.650855223,2,7,3.5,0,-0.409742201894859,0
"1413","sharon4",1,1,0,0,0,0,0.36458166,2,11,11,0,-0.409742201894859,0
"1414","sharon_fung",1,0,12,0,0,0,1.106199299,3,19,1.583333333,11.89158199,3.88258421579291,0.173913043478261
"1418","shelly4",1,7,3,10.16666667,10.71428571,9.285714286,1.038093688,3,10,1,50.23395266,0.663339402527083,0.0434782608695652
"1420","sherry3",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1421","sherry_ann",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1422","sherryann",1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1424","shirley_reynolds",1,2,2,0,0,0,0.36458166,2,17,4.25,42.09141837,0.305645534386436,0.0289855072463768
"1425","shirleyanne",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1427","si_greenwood",1,1,2,0,0,0,0.348084416,2,11,4,0.471404521,0.305645534386436,0.0289855072463768
"1431","silverlining1",1,3,1,1,23,17,0.534059693,5,2,0.5,0,-0.0520483337542118,0.0144927536231884
"1432","simon_carter",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1436","skier304",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1437","skinny_type_1",1,8,0,0,41.875,35.42857143,2.475226992,5,61,7.625,31.39640704,-0.409742201894859,0
"1444","something_exotic",1,6,0,0,0.666666667,41.66666667,1.916471215,4,3,0.5,0.942809042,-0.409742201894859,0
"1448","sparrowrose",1,4,0,0,8,21.5,0.650690954,1,11,3.5,1.785357107,-0.409742201894859,0
"1449","sprmom",1,14,0,0,48.5,61.14285714,2.958909966,5,6,0.642857143,8.672028692,-0.409742201894859,0
"1452","staci",1,3,0,0,0,0,1.044253249,0,29,9.666666667,7.542472333,-0.409742201894859,0
"1457","stephanie22",1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1467","steve_goldberg",1,3,1,0,0,0,1.044253249,1,23,5.75,0,-0.0520483337542118,0.0144927536231884
"1468","steve_hackenberg",1,3,0,0,0,0,1.093744979,2,11,3.666666667,24.38578821,-0.409742201894859,0
"1470","stonefish",1,0,1,0,0,0,0.36458166,4,88,88,0,-0.0520483337542118,0.0144927536231884
"1471","stoner",1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1472","stooovie",1,0,1,0,0,0,0.36458166,3,43,43,0,-0.0520483337542118,0.0144927536231884
"1476","sue_rericha",1,8,0,0,0,0,2.496420326,3,13,1.625,46.10585646,-0.409742201894859,0
"1478","suesue",1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1479","suezq1949",1,3,0,0,53.33333333,46.33333333,1.038093688,4,7,2.333333333,1.247219129,-0.409742201894859,0
"1480","sugah_daddy",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1481","sugar_plum",1,5,0,0,0,0,0.976282835,1,12,2.4,43.27401068,-0.409742201894859,0
"1485","suhen",1,2,1,0,0,0,0.729163319,7,6,2,1.885618083,-0.0520483337542118,0.0144927536231884
"1491","susan_duzik",1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1497","sweetbear",1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1500","sweetpotater",1,8,12,6.210526316,22.375,64.125,1.572153381,1,30,4.95,24.95490934,3.88258421579291,0.173913043478261
"1502","t1diabetic24",1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1508","tammie_leisy",1,0,1,0,0,0,0,3,15,15,0,-0.0520483337542118,0.0144927536231884
"1510","tannie1958",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1512","tapestry",1,8,0,0,0,0,2.801172574,6,9,1.125,4.512136412,-0.409742201894859,0
"1514","tasha22",1,0,1,0.25,0,0,0.068919535,3,5,5,0,-0.0520483337542118,0.0144927536231884
"1517","taylar",1,4,0,0,0,0,0.36458166,2,40,10.5,0.866025404,-0.409742201894859,0
"1518","taylor_moody",1,8,4,0,0,0,2.14833591,2,3,1.5,7.154544011,1.02103327066773,0.0579710144927536
"1520","teamlenny",1,1,0,0,0,0,0.348084416,3,7,7,0,-0.409742201894859,0
"1534","thas",1,7,0,0,0,0,1.596021024,5,9,6.142857143,12.50632493,-0.409742201894859,0
"1535","the_diabetic_camper",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1541","tiae",1,1,0,0,0,0,0.129106649,5,54,54,0,-0.409742201894859,0
"1543","tiera1",1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1544","till",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1545","tim13",1,5,0,0,0,0,1.822908298,3,2,0.4,10.11928851,-0.409742201894859,0
"1550","tiny_dancer",1,6,0,0,0,0,1.860786619,3,45,7.5,16.90824914,-0.409742201894859,0
"1554","todd_werner",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1556","tom18",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1558","tom33",1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1562","tonilynn20",1,1,1,11.5,434,112,0.272161296,4,6,3,0,-0.0520483337542118,0.0144927536231884
"1563","tony_song_mysugartv",1,2,1,0,0,0,0.690009271,2,0,0.666666667,0.942809042,-0.0520483337542118,0.0144927536231884
"1564","tony_tyner",1,1,0,0,0,0,0.325427612,2,57,57,0,-0.409742201894859,0
"1566","tonya",1,3,1,0,0,0,0.729163319,4,9,6.25,6.92820323,-0.0520483337542118,0.0144927536231884
"1571","tounyoubyou",1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1576","tracy",1,11,0,0,14,26.27272727,3.431755968,0,11,8.636363636,30.93795444,-0.409742201894859,0
"1579","tracy_greene_mintz",1,13,0,0,0,0,4.739561576,2,24,1.846153846,47.59742423,-0.409742201894859,0
"1582","treharne",1,7,3,0,0,0,1.380102697,3,0,0.1,15.10264877,0.663339402527083,0.0434782608695652
"1583","trekker",1,1,1,0,0,0,0.36458166,3,15,7.5,0,-0.0520483337542118,0.0144927536231884
"1589","truenorth",1,0,0,0,0,0,0,8,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1590","twepat",1,4,5,28.83333333,8,6.75,0.410516891,4,0,0.222222222,17.27625931,1.37872713880838,0.072463768115942
"1591","twiddlemthumbs",1,0,40,1.699346405,0,0,13.03976127,2,1,0.025,4.488596663,13.898012523731,0.579710144927536
"1592","twinchick",1,1,0,0.538461538,15,9,0.178019898,5,24,24,0,-0.409742201894859,0
"1595","type1moms",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1597","type1vt",1,0,2,0,0,0,0.325427612,4,8,4,0,0.305645534386436,0.0289855072463768
"1603","unwrapped",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1605","useddys",1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1606","vancouversailor",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1608","verity",1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1611","vicki_s",1,0,4,0,0,0,1.408834909,1,13,3.25,1.920286437,1.02103327066773,0.0579710144927536
"1619","vincent1",1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1622","vonda_k",1,0,1,0,0,0,0.325427612,0,0,0,0,-0.0520483337542118,0.0144927536231884
"1629","washington_state",1,3,1,0,5,9.333333333,1.386178104,3,4,12.25,17.5,-0.0520483337542118,0.0144927536231884
"1630","wassim",1,9,0,0,61.88888889,40.77777778,2.14833591,3,6,0.666666667,9.727141613,-0.409742201894859,0
"1633","wendi",1,2,1,0,0,0,1.038093688,2,0,1,3.299831646,-0.0520483337542118,0.0144927536231884
"1638","wheelman",1,0,0,0,0,0,0,8,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1642","xirian",1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1644","yaxpac1",1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363,-0.409742201894859,0
"1646","yeagen",1,14,3,3.7,4.285714286,9.785714286,3.195524857,7,6,0.352941176,9.95213458,0.663339402527083,0.0434782608695652
"4","812005",0,4,0,0,104,33.25,0.690009271,4,40,29,26.9664143,-0.409742201894859,0
"5","a_o_t_s",0,4,3,0,0,0,0.750544397,3,2,12.28571429,38.01879235,0.663339402527083,0.0434782608695652
