user,majorContributor,responses,topics,avgNumberOfResponsesPerTopic,avgNumberOfResponsesBeforeResponse,avgNumberOfResponsesAfterResponse,entropy,yearJoined,firstDayResponse,avgGap,avgStd
darcey,0,19,0,0,0,0,4.179209676,2,2,0.315789474,61.13796215
darkstar74,1,8,0,0,9,34.25,1.465107822,6,8,3.75,8.011710179
darrell_k_whitfield,0,4,2,0,0,0,1.27365018,2,15,2.5,1.343709625
darrol,0,2,1,3,0,12,0.729163319,7,7,2.333333333,0
darryl_rule,0,0,1,0,0,0,0.348084416,1,0,0,0
dave25,0,5,0,0,0,0,0.627421732,6,18,5.4,11.0923397
dave_cerqua,0,2,0,0,0,0,0.690009271,2,39,20.5,1
dave_shikiar,0,9,1,0,0,0,1.441829395,0,16,17.7,61.50967404
dave_t,0,4,0,0,0,0,1.392337665,4,14,3.5,16.14581989
daveh,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
daver,0,1,1,0,0,0,0.325427612,7,0,5.5,5.5
david22,1,3,0,0,0,0,0.712666076,3,4,20.33333333,23.41414577
david27,0,2,0,0,0,0,0.696168833,3,35,17.5,2.5
david3,0,1,2,0,0,0,0.841772725,1,0,59.66666667,77.30602966
david33,1,2,0,0,0,0,0.696168833,4,14,7,2.5
david34,0,7,4,7,7.142857143,11.85714286,3.169932354,4,12,3.181818182,13.88143418
david8,1,1,0,2,39,6,0.178019898,1,5,5,0
david_c_weisberg,1,15,4,0,0,0,0.777248358,2,22,19.89473684,107.7927888
david_yoder,0,3,3,0,0,0,1.419172591,2,0,13.83333333,31.08992334
davidrr07,0,3,0,0,0,0,1.021596444,1,83,29.66666667,14.35270009
dawn12,0,4,5,0,0,0,0.76704164,4,15,1.666666667,16.20318518
dayle,0,8,1,0,0,0,1.73426252,2,6,6.333333333,28.35794138
dayna_nyberg,0,4,0,0,0,0,1.093744979,2,7,1.75,26.05163143
dea,1,5,0,0,0,0,1.740422082,4,14,2.8,14.21829807
deansemperfi,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
deanusa,1,8,0,0,18,151.25,2.424271791,3,4,0.625,8.32071962
deathjamm,1,2,0,0,13.5,4.5,0.729163319,5,16,8,5
deb_b,1,1,0,0,0,0,0.325427612,3,33,33,0
debbie13,0,6,0,0,0,0,1.716539936,3,12,2,18.23382083
debbie_drechsler,0,0,1,0,0,0,0,3,0,0,0
debi,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
debka,0,1,1,0,0,0,0.178019898,3,1,6.5,6
debmc,1,3,2,0,0,0,1.386178104,1,0,5.4,12.18851919
deborah3,1,10,4,0,0,0,1.892641441,4,0,3.714285714,17.10650908
debra4,1,5,1,0,0,0,0.715273235,3,44,7.333333333,0
debra5,0,5,0,0,0,0,1.744600202,4,2,0.4,14.10815367
dede,0,1,1,2,6,19,0.325427612,3,2,1,0
dee26,1,1,0,0,0,0,0.129106649,6,3,3,0
deej187,0,0,2,1,0,0,0.650855223,4,0,0,0
dejahthoris,1,23,1,29,92.60869565,95.86956522,4.448435273,3,10,3.166666667,70.45383634
delilah_brien,0,1,0,0,0,0,0.129106649,1,5,5,0
delilahjed,1,2,0,0,122,240,0.696168833,3,15,7.5,0
denise3,0,0,5,0,0,0,1.170881611,2,0,0.2,4.363484846
denise_glezer_jones,1,0,1,0,0,0,0.143054647,2,0,0,0
dentista,0,3,0,0,23,67.66666667,0.36458166,3,6,2,0.942809042
denver,1,14,1,0,0,0,5.071148749,5,41,2.733333333,2.578543947
dereck_cruz,0,3,0,0,0,0,0.325427612,2,4,1.333333333,21.66923062
dezh,0,11,0,0,0,0,2.104828795,4,5,0.454545455,27.98848642
dhf_germany_embassy,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
di1,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
diabetesdoc,0,0,1,0,0,0,0,3,0,0,0
diabetesfamily,1,0,0,0,0,0,0,7,3.874194056,1.889718175,3.779269363
diabetesman70,0,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
diabetesmarcum,0,0,1,2,0,0,0.325427612,6,0,0,0
diabetic_dad,1,0,21,0,0,0,6.354962328,7,1,0.238095238,5.082984821
diabeticaltez,0,4,3,0,0,0,1.015436883,4,1,1,7.685130089
diabetickasin,0,0,1,0,0,0,0.348084416,6,0,0,0
diabeticmaven,0,2,9,3.142857143,1,1.5,0.650855223,5,0,2.909090909,64.1749932
diabfighter,1,3,0,0,17,74.66666667,1.044253249,4,13,4.333333333,6.599663291
diabud,0,9,0,0,33.55555556,20.5,1.060750492,4,4,3.111111111,12.25651754
diana10,0,2,1,4,17,9.5,0.493688308,3,2,8.333333333,10.61445555
dianne_lehman,0,1,1,0,0,0,0.690009271,0,0,1,1
diego1,0,12,0,0,0,0,2.545166728,3,8,0.916666667,29.85090265
dinah_luevano,0,15,0,0,0,0,5.237763488,2,3,4.8,46.16906131
dinmi,0,0,1,0,0,0,0.325427612,4,0,0,0
dioi,0,2,0,0,0,0,0.729163319,6,6,3,1
dj11,0,4,1,3,127.5,54,0.868029169,4,0,4.8,9.329523032
dkhay,0,16,0,0,51.125,50.5,4.972165289,3,3,9.4375,100.1826457
dlabbee,0,2,0,0,0,50,0.325427612,3,10,5,1.5
dman1,0,1,0,0,0,0,0.348084416,4,31,31,0
dogsaremykids,1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
domcobb1,0,1,1,0,0,0,0.045935232,7,4,2.5,0.5
domingo_liotta,1,11,4,0,0,0,2.951505309,2,7,0.466666667,36.00703635
don_c,0,4,0,0,0,0,1.392337665,2,62,15.5,21.45926373
don_crawford,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
donald_hantsbarger,1,0,1,0,0,0,0.36458166,2,1,1,0
donna16,0,2,0,0,0,0,0.712666076,4,22,16,5
donna18,0,8,0,0,0,0,0.673512028,6,4,1.75,27.6857364
donna20,0,2,0,0,0,0,0.696168833,6,36,18,5
donnadean,0,5,0,0,16.4,11.6,1.038093688,5,3,6.8,12.04989627
dora,0,12,0,0,0,0,1.308699586,1,3,7.916666667,32.40756085
dorene,0,1,1,0,0,0,0.394347146,1,44,22,0
doug1,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
doug8,0,3,8,0,0,0,0.729163319,3,1,1.818181818,8.160578492
doug9,0,6,1,0,0,0,0.984319849,3,2,5.571428571,23.30192249
doug_k,0,2,0,0,0,0,0.325427612,1,54,27,5.5
doug_moore,0,0,1,2,0,0,0.325427612,2,0,0,0
dr_hema,0,1,1,0,6,1,0.441718292,7,35,17.5,0
dragonflylife,0,1,1,0,0,0,0.690009271,5,0,7.5,7.5
drea522,0,7,0,0,0,0,0.696168833,0,8,1.142857143,5.521756597
drewg,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
dropsofjupitar,0,6,0,0,220.8333333,134.1666667,0.392880056,5,77,16.5,10.68747969
drxbmw,0,9,3,0,0,0,0.579494312,3,2,17.41666667,86.17553146
dside,0,10,0,0,47,42.3,2.708823168,4,2,2.6,79.48358321
dsndude,0,2,1,0,1,4,0.690009271,3,3,1.666666667,1.247219129
duarte,1,20,0,0,0,0,3.087446137,4,10,6.9,49.66980974
dub1045,1,2,3,0,0,0,0.611536906,5,2,1.6,2.332380758
duchess,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
dusty,0,7,2,0,0,0,1.301710446,3,32,3.666666667,36.38104241
dwyer,0,1,1,0,0,0,0.348084416,1,15,9,1.5
e_s_mom,0,3,1,0,0,0,1.077247736,3,28,7,11.29988938
earl1,0,2,1,0,0,0,0.696168833,6,7,2.666666667,11.0855261
ed_liebowitz,0,1,1,0,0,0,0.402564244,0,2,1.5,0.5
eduardo_halvorssen,1,0,0,0,0,0,0,0,3.874194056,1.889718175,3.779269363
eileen_mclain,0,3,1,0,0,0,0.729163319,1,16,4,26.5
elaine,0,23,12,0,0,0,5.403464263,0,2,4.371428571,115.9751064
elisa1840,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
elissa_weitzman,1,6,0,0,0,0,1.952565669,3,6,1,20.93176746
elizabeth,0,8,0,0,0,0,1.22239265,0,4,4.5,27.98632479
elizabeth20,0,9,0,0,0,0,0.620275813,3,22,2.444444444,17.94711023
elizabeth_s,1,2,0,0,0,0,0.696168833,2,2,1,0
ellen_sherman,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
ellenr,0,3,1,0,0,0,1.044253249,4,129,32.25,11.84008024
ellfell,0,4,0,0,0,0,0.712666076,4,17,4.5,19.68501969
ellie4,0,2,0,0,0,0,0.729163319,3,8,4,4.5
elly1,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
elmo218,0,0,2,0,0,0,0.507636307,3,0,6,6
elsa_k,1,1,0,0,3,8,0.36458166,5,36,36,0
eme,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
emily13,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
emily_rivera,0,3,0,0,0,0,0.325427612,1,24,21.33333333,17.79513042
emmarose,0,7,0,0,14,27,2.088506498,4,4,0.571428571,30.09373113
emmy,1,4,0,0,0,0,1.199616342,0,26,6.5,12
endswme,1,22,1,0,0,0,5.933932321,4,35,5.347826087,31.90860057
enjnanny,0,5,0,0,9.6,4.4,1.330008842,4,2,0.4,6.693280212
eric1,1,1,1,0,0,0,0.690009271,0,0,6,6
erin18,0,10,0,0,0,0,3.462365479,4,4,0.8,28.46067462
erin19,0,7,1,0,0,0,0.36458166,4,8,4.5,9.130135541
erin_andrew_s_mom,0,2,0,0,0,0,0.36458166,1,2,11.5,10.5
erin_ball,1,16,0,0,0,0,3.264819176,2,6,0.375,0.390312375
erin_c,0,2,2,0,0,0,0.650855223,2,3,18,32.19472006
erin_huff_carper,0,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
erinwa,0,0,1,0,0,0,0.068919535,7,3,3,0
erun,0,4,2,0,0,0,0.556837507,5,15,2.5,4.099457959
esm,1,0,1,18,0,0,0.325427612,3,0,0,0
estpeters,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
ethan,1,2,0,0,0,0,0.729163319,6,6,3,0
everette,0,3,1,0,0,0,0.679153619,4,22,5.75,4.062019202
everydayupsanddowns,1,4,0,0,1.75,9.75,1.324367251,4,4,1,25.85053191
eviesmom,0,4,1,0,0,0,1.458326639,6,19,3.8,27.67381434
evvy,0,0,1,0,0,0,0.36458166,1,0,0,0
ewa,0,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
fabiola,0,3,0,0,0,0,0.712666076,1,9,12.33333333,12.75408431
fabrizio,0,3,0,0,0,0,0.802618677,2,5,17,21.68460796
farfalla,1,2,0,0,129,43,0.729163319,4,1,0.5,0
fayebella,1,2,1,6,62.5,38,0.729163319,7,2,0.666666667,7.071067812
felice,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
felix,0,6,2,0,0,0,1.203805139,1,1,10.625,34.97856486
firas,0,1,2,0,0,0,0.325427612,1,72,24,0
firehead,1,6,1,0,0,0,2.105003741,6,6,1.714285714,6.23354978
flipper,1,2,0,0,41.5,7.5,0.418957224,3,75,45,7.5
foozie,0,2,0,0,60,56.5,0.220191279,3,7,3.5,10.5
fourpugs,0,2,0,0,28,7.5,0.690009271,3,25,12.5,5.5
foxmeister,0,2,0,0,30.5,14.5,0.321074545,3,7,24.5,21
francois,0,2,3,0,0,0,0.729163319,3,33,6.8,23.43501654
frank_marcus_sabatin,0,11,0,0,0,0,2.821847938,2,21,15.54545455,108.8062954
frankille,0,0,1,0,0,0,0.36458166,3,58,58,0
franklin,1,1,1,0,0,0,0.468482259,3,39,19.5,0
franzis_kaar_grimm,0,6,0,0,0,0,2.088506498,4,2,0.333333333,5.852349955
fred_jordan,0,2,1,0,0,0,0.729163319,1,29,9.666666667,0
frontlinerocker,1,1,0,0,0,18,0,3,7,7,0
g111,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
gabarito,1,2,0,0,40.5,9,0.729163319,7,15,7.5,5
gabby,0,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
gabby2,0,32,8,16,8.4375,83.78125,7.899156248,4,13,0.675,54.38005149
gammynan,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
garrett,1,1,2,0,0,0,0.325427612,2,13,4.333333333,0
gary15,1,2,1,0,0,0,0.056596792,4,6,2,8.259674462
gary17,0,3,0,0,0,0,1.038093688,5,8,2.666666667,6.377042157
gary_d_carlson,0,2,0,0,0,0,0.503447509,2,23,11.5,9.5
gary_harrison,0,12,2,0,0,0,1.912282418,2,10,2.714285714,53.71167357
gary_paveza_jr,0,2,0,0,0,0,0.36458166,3,10,5,2
garyp41,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
garytoh,0,0,1,2,0,0,0.143054647,2,3,3,0
gayler,1,0,1,8.875,0,0,0.36458166,3,1,1,0
geckoaz,0,4,1,13,9.25,17.25,1.392337665,1,80,16,25.6702162
genebert,0,8,1,0,0,0,0.617093056,3,83,9.222222222,47.53893791
gerry,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
gigi1,0,4,3,0,0,0,0.976282835,4,38,5.428571429,15.06855084
gina_capone,1,5,4,0,0,0,0.81911592,0,2,2.333333333,12.40171235
ginger,0,1,1,0,0,0,0.45453426,0,3,3,1.5
ginger2,1,2,0,0,0,0,0.729163319,6,9,4.5,0
ginny_e,1,1,3,1.285714286,1,2,0.518854924,2,0,0.5,32.00781155
girlygirl,1,7,3,5.75,6,30.57142857,0.077136632,3,3,0.3,4.5
giryes_nijmeh,0,2,0,0,0,0,0.690009271,1,10,6,1
gladys,0,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
gloria_gibbons,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
glucosegirl,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
gmc,0,5,0,0,0,0,1.78375425,6,4,0.8,8.380930736
goldengaitk9,1,1,0,0,0,0,0.325427612,3,25,25,0
gopal,0,0,1,11,0,0,0,3,0,0,0
gorajekd,0,7,3,17.5,68.28571429,46.42857143,2.801172574,6,12,4.6,36.20511014
gordon_keys,0,5,2,0,0,0,1.408834909,2,1,1,3.719776162
graeme_swift,1,13,1,0,0,0,4.525097412,5,4,0.285714286,13.28264173
grandmalinda,0,2,1,0,0,0,0.325427612,5,5,1.666666667,16.26857912
grandwagoneer,0,3,1,0,0,0,1.029551823,5,18,8.75,7.361215932
grant_sunada,0,3,0,0,0,0,0.81911592,2,68,22.66666667,46.88520259
grayson_s_mom,0,4,1,13,1.5,103.25,0.690009271,0,0,14.2,32.08987379
greg4,1,16,8,0,0,0,4.73912913,1,8,1.333333333,18.20866705
greg8,0,3,0,0,0,0,1.054590931,2,5,4.666666667,4.784233365
greg_ascher,0,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
greymore,0,3,1,17,55.33333333,50.66666667,0.690009271,6,2,18.25,30.05307805
griz99,0,1,2,4.666666667,2,3,0.36458166,6,8,3.666666667,1.414213562
grmreaper,0,7,0,0,18.85714286,25.57142857,2.436590914,3,58,8.285714286,42.61119906
hakeem_adejumo,0,3,2,0,0,0,0.650855223,6,2,0.4,43.34697221
halishawn,0,3,2,13,38.33333333,36.66666667,0.729163319,1,22,5.8,9.410632285
hananas,0,2,0,0,2.5,22.5,0.712666076,7,8,4,1
hank,1,37,6,0,0,0,2.778515769,0,71,7.581395349,147.8658346
hank_barnes,1,2,0,0,0,0,0.477191065,3,54,27,15
hannah3,0,3,1,0,0,0,0.976282835,2,4,1,5.830951895
hannah_75,0,3,2,3.5,18.33333333,4.666666667,0.425221048,4,0,18.2,32.8730893
hannah_kate,0,2,0,0,0,0,0.712666076,4,10,5,6.5
hannasaurs_rex,0,2,1,0,0,0,0.696168833,7,0,0.333333333,0.471404521
harmony,0,3,1,0,0,0,0.976282835,3,26,6.5,0
harttj,0,3,0,0,0,0,1.093744979,4,19,6.333333333,8.485281374
harvey,0,0,1,0,0,0,0.178019898,1,0,0,0
haters_gonna_hate,0,3,0,0,3.666666667,19.33333333,0.712666076,6,5,2.666666667,1.414213562
hayley,0,2,0,0,0,0,0.325427612,1,21,14,3.5
hcatlover06,0,1,1,6,29,10,0.712666076,4,19,24,14.5
heather2,0,3,1,0,0,0,0.696168833,0,15,14.25,17.3421452
heather36,1,1,0,0,0,0,0.325427612,7,6,6,0
heather57350,0,0,1,1,0,0,0.178019898,5,3,3,0
heather9,0,1,2,0,0,0,1.015436883,1,0,3.666666667,4.966554809
heather_nicole,0,8,5,0,0,0,2.434609473,2,1,0.230769231,8.896512181
heather_nicole1,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
hebrew,0,5,0,0,0,0,1.822908298,4,3,0.6,17.99555501
heidi_rogers,0,2,0,0,0,0,0.712666076,2,18,10,1
helen16,0,1,1,0,0,0,0.077136632,6,29,14.5,0
helen_l_l,0,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
helen_sea,0,2,1,0,0,0,0.441718292,2,10,3.333333333,17.10750323
henry_d,0,3,2,0,0,0,0.40245998,3,23,5.6,1.939071943
henry_dehaan,0,9,1,0,0,0,1.424159182,2,13,1.3,5.974110813
herman,1,7,0,0,24.28571429,72.57142857,1.672451667,1,10,1.428571429,8.315218406
heypaula,0,3,0,0,14.66666667,17,1.060750492,6,6,2,12.72792206
hfw,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
highway2x,1,4,0,0,139.5,217.5,0.308546528,6,3,0.75,16.45448267
holly_ramey,0,9,3,0,0,0,1.178605576,4,17,1.666666667,16.13743061
hosanna_bielby,0,4,0,0,0,0,1.347024056,2,2,0.5,12.79404158
howard_imber,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
howiewho,0,3,1,0,0,0,1.044253249,5,7,4.75,9.5
hoya_zoya,0,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
hunya,1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
hyperactive,0,7,1,1,181.5714286,133.4285714,1.615731683,6,7,0.875,5.782516753
ichoose,1,2,0,0,0,0,0.178019898,6,4,2,4
icon_river,0,0,2,0,0,0,0,1,0,0,6.5
icuski2,1,0,0,0,0,0,0,5,3.874194056,1.889718175,3.779269363
ilana,1,6,4,6.307692308,0.5,420.1666667,2.14833591,3,10,1,5.273518749
ilhaam,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
indiana,0,1,5,260,4095,910,0.712666076,4,0,8,20.32786812
ioana,0,1,0,0,0,0,0.348084416,2,20,20,0
isabel2,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
isabel_mello,0,0,1,0,0,0,0.325427612,2,0,0,0
ivan_castro,1,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
ivan_e_cao_berg,1,2,3,0,0,0,0.650855223,0,1,4.2,24.92067415
j_blue,0,6,0,0,0,0,2.043192888,3,40,25.5,51.73892796
j_claudio,1,1,0,0,0,0,0,4,13,13,0
j_strong,1,0,1,0,0,0,0.054375564,7,1,1,0
jack3,0,17,2,0,0,0,5.131009256,3,57,3,0.464829519
jack5,0,3,0,0,26.66666667,5.333333333,1.077247736,3,5,2.666666667,1.414213562
jackie1,1,6,12,0,0,0,1.181148335,1,9,2.166666667,13.2994941
jacky2,0,3,1,0,0,0,1.093744979,6,4,1.25,0.433012702
jacob_s_mom,1,1,3,0,0,0,1.093744979,4,2,0.5,2.165063509
jacq2,0,5,0,0,0,0,0.645533244,6,28,5.6,8.4
jacqueline7,0,2,0,0,0,0,0.348084416,6,5,4,1.5
jacquip,0,3,1,0,0,0,1.021596444,4,0,2.25,6.139014579
jahangir_alam,1,7,2,0,0,0,0.859487305,2,48,5.444444444,40.67971861
jakub,0,5,2,0,0,0,0.518854924,5,3,3.571428571,10.7684346
jamen1,0,4,2,9.5,37,51,0.712666076,4,7,3.166666667,5.70574759
james_burke86,1,0,0,0,0,0,0,4,3.874194056,1.889718175,3.779269363
james_type_1_diabeti,1,2,0,0,0,0,0.45453426,7,11,13,7.5
james_w_phifer,0,2,0,0,0,0,0.690009271,2,3,9.5,8
jamie6,1,5,2,0,0,0,0.850505146,1,11,10,29.15965902
jamie8,0,18,14,0,0,0,4.32972557,1,0,6.53125,52.36559246
jamie_haywood,0,3,0,0,0,0,1.060750492,6,21,22.33333333,21.45279055
jamie_s_mom,0,3,3,0,0,0,1.369680861,3,2,0.5,15.00740558
jamie_shawn_cristoni,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
jane13,0,3,0,0,235,84,0.18588776,7,2,4.333333333,5.185449729
jane3,0,11,2,0,0,0,3.524176332,2,113,10.15384615,6.651956157
jane7,1,1,0,0,0,0,0.36458166,3,53,53,0
jane_m,1,6,0,0,0,0,1.033154136,2,5,2.333333333,13.3749351
jane_mitchell,0,2,0,0,0,0,0.690009271,2,5,2.5,5
jane_staiger,0,2,0,0,0,0,0.325427612,3,13,6.5,3
janetmcq,0,1,1,3,0,3,0.325427612,4,71,35.5,0
janice52,0,4,0,0,0,0,0.464129192,3,2,0.5,40.32601518
janice6,0,6,0,0,0,0,2.088506498,3,5,0.833333333,7.903937134
janine2,0,1,1,0,0,0,0.325427612,6,9,5,0.5
jason11,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
jason3,0,4,0,0,0,0,0.348084416,1,5,1.25,20.21138293
jason9,0,15,0,0,0,0,4.939170802,2,7,0.466666667,11.08873302
jason_meadows,0,11,0,0,0,0,2.799191133,0,3,2,54.51241424
jasonn,1,28,1,0,0,0,1.044253249,4,60,2.482758621,57.67024634
jastine_tabanao,0,33,1,0,0,0,11.30203145,4,40,1.176470588,17.88392505
jattzl,0,23,1,9,19.65217391,38.91304348,8.022438819,5,6,0.708333333,13.84938827
javamom,0,1,2,0.5,0,3,0.325427612,5,3,1.666666667,0.816496581
jay3,1,6,0,0,0,0,0.36458166,1,27,4.833333333,12.80299444
jay4,0,3,0,0,0,0,0.50235768,2,5,2.666666667,2.867441756
jay6,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
jayanthi,0,2,0,0,148,49,0.154273264,3,15,7.5,1.5
jaynetype2,0,1,1,0,0,0,0,3,7,3.5,1
jaypochapin,0,5,1,24,360,90,0.890099489,6,17,3,0.372677996
jbasil,0,1,0,0,0,0,0.348084416,3,57,57,0
jdjd,0,2,0,0,8,10.5,0.729163319,7,13,6.5,7.5
jdsnyc,0,6,0,0,11.66666667,12.33333333,2.065849693,5,12,12.16666667,39.69466799
jeanine_connolly,0,1,2,0,0,0,0.36458166,3,5,1.666666667,2.357022604
jeannie,0,0,1,0,0,0,0.325427612,1,1,1,0
jebusfu,0,0,1,15,0,0,0.36458166,6,0,0,0
jeff211,0,4,0,0,18,23,0.806299951,4,3,3.5,4.763139721
jeff29,0,4,0,0,0,0,0.696168833,5,3,0.75,3
jeff34,0,6,0,0,0,0,1.446806757,6,65,11.16666667,22.24422522
jeff_cohen,1,1,0,0,0,0,0.077136632,1,7,7,0
jeff_rochlin,0,13,1,0,0,0,2.696433087,0,5,0.357142857,12.44252091
jeffrey,1,1,2,0,0,0,0.468482259,0,4,1.333333333,1.247219129
jeffrey_aaron,1,1,2,0,0,0,0.36458166,0,3,8.666666667,10.40299102
jeffrey_spiller,0,2,0,0,0,0,0.673512028,2,9,4.5,3
jeffri_kay,1,6,1,1.5,89.16666667,107.5,1.806411055,3,4,0.571428571,0.349927106
jel,0,4,1,0,0,0,1.015436883,6,8,8.2,14.64786674
jen11,0,0,0,0,0,0,0,1,3.874194056,1.889718175,3.779269363
jen12,0,5,0,0,0,0,1.386178104,2,11,6.4,13.77824372
jen13,0,1,0,0,0,0,0.129106649,2,16,16,0
jen14,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
jen40,1,0,0,0,0,0,0,6,3.874194056,1.889718175,3.779269363
jen_g,0,1,1,0,0,0,0.068919535,5,13,6.5,0
jen_mangum,0,1,3,0,0,0,1.061372115,1,9,4.25,3.570714214
jenmc,0,9,1,0,0,0,1.438342653,4,2,3.2,11.15750868
jenn4,0,5,0,0,0,0,1.001324615,2,6,2.6,13.04453909
jenn_mama_bear,0,4,0,0,0,0,1.098733076,6,5,28,47.8905001
jenna1,0,3,5,5,16.66666667,50.66666667,1.854660363,1,3,1.375,38.76350571
jennc,0,9,1,0,0,0,0.417003951,5,29,2.9,49.64111199
jenndaloop,0,6,3,14.5,7.166666667,18.16666667,0.348084416,7,3,1.666666667,5.676462122
jennie2,0,2,1,0,0,0,0.729163319,2,4,1.333333333,36.53613128
jennifer24,1,0,0,0,0,0,0,2,3.874194056,1.889718175,3.779269363
jennifer25,0,25,1,0,0,0,7.005020495,2,22,4.115384615,39.83932225
jennifer4,1,0,1,0,0,0,0.325427612,1,77,77,0
jennifer45,1,0,3,0,0,0,0.712666076,6,0,0.666666667,1.247219129
jennifer_smith3,0,2,1,0,0,0,0.729163319,6,12,4,16.57977349
jennitar,1,0,1,0,0,0,0.36458166,4,4,4,0
jenny14,0,2,0,0,0,0,0.36458166,3,2,1,13
jenny17,0,2,0,0,0,0,0.348084416,3,4,2,5
jenny4,0,5,1,0,0,0,1.740422082,1,247,41.33333333,34.73550857
jenny8,0,2,0,0,0,0,0.650855223,2,13,6.5,15
jenny_fiorenzo,0,2,1,0,0,0,0.855720723,2,9,16.33333333,18.62495339
jensenclan,1,0,1,0,0,0,0,4,2,2,0
jeremy_and_anne,0,11,3,0,0,0,3.132759747,3,7,0.5,33.12407103
jeremy_r_eiler,0,0,1,0,0,0,0.325427612,2,2,2,0
jess2233,0,2,1,0,0,0,0.696168833,6,5,1.666666667,0
jess78,0,3,0,0,0,0,1.021596444,6,7,3,0.942809042
jess8,0,1,1,0,0,0,0.36458166,3,12,6,0
jesse_carr,0,2,0,0,0,0,0.673512028,2,3,1.5,5
jessica_c1,0,8,3,0,0,0,2.817669817,3,42,8.090909091,20.46767256
jessica_kuddes,1,0,0,0,0,0,0,0,3.874194056,1.889718175,3.779269363
jessica_the_type_1_d,1,0,1,0,0,0,0.36458166,6,145,145,0
jessie7,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
jessie_daughter_kait,0,1,1,0,0,0,0.36458166,2,0,1.5,1.5
jessstar,0,1,1,6,22,20,0.36458166,4,8,4,0
jgoering,0,3,1,55,283.3333333,233,1.054590931,4,4,5.5,9
jill,0,3,1,0,0,0,0.712666076,0,1,2.75,4.023369235
jill_katus,0,1,0,0,0,0,0.348084416,2,30,30,0
jim3,0,4,1,0,0,0,0.597588907,1,14,2.8,38.62952239
jim40,0,4,3,0,0,0,1.150703093,6,0,9.571428571,18.53512936
jim_allison,1,7,3,0,0,0,1.345220234,1,30,16.5,46.82520689
jim_armstrong,0,8,0,0,0,0,0.825275481,5,12,4.375,14.48220891
jim_dozier,0,0,1,0,0,0,0.325427612,0,2,2,0
jim_r,0,1,3,0,0,0,0.325427612,3,0,7.5,13.61983847
jimmy_lindsey,0,1,1,0,0,0,0.348084416,2,14,7,0
jims,1,0,0,0,0,0,0,3,3.874194056,1.889718175,3.779269363
jmecoakfarmer,0,1,3,0,0,0,0.36458166,7,10,5.5,4.974937186
jo116,0,3,2,0,0,0,1.154384368,5,30,6,12.43221621
jo_jo,0,1,1,0,0,0,0,4,0,1.5,1.5
joanna,0,22,1,0,0,0,3.883905253,0,8,6.913043478,95.66090869
jodiiiii,0,25,4,5.75,24.36,68.24,8.225322878,1,58,2,90.99437465
jody_corbett,0,9,3,0,0,0,0.998939639,0,9,2.25,28.19906913
